date,Aching Muscle Pain,Fatigue,Insomnia,Palpitations,Headache,Clouding of consciousness,Chest Tightness,Hip pain,Myalgia,Major depressive disorder,Sleep disorder,Anxiety,Anosmia,Shortness of breath,Dizziness,Long Covid,Lightheadedness,Chest pain,Ageusia,Mental health,Hypochondriasis
1/1/2020,40,79,67,91,92,60,92,87,74,79,56,69,41,67,79,0,76,93,60,47,63
2/1/2020,60,84,79,99,86,71,71,89,77,82,79,84,48,79,91,0,85,94,36,66,62
3/1/2020,26,82,84,88,88,87,86,85,83,75,88,87,76,83,90,0,79,99,75,79,60
4/1/2020,42,87,81,89,92,81,90,91,83,76,72,72,46,79,92,0,79,96,60,58,57
5/1/2020,54,92,93,93,96,87,65,100,93,91,92,82,73,68,98,0,84,94,100,59,66
6/1/2020,48,95,97,95,89,87,95,88,82,86,100,94,72,74,92,0,86,95,24,95,59
7/1/2020,52,99,100,98,98,77,82,95,98,93,100,96,75,80,95,0,93,97,50,90,73
8/1/2020,55,93,97,91,91,58,70,86,97,79,83,88,68,76,100,0,79,93,21,88,69
9/1/2020,51,92,89,94,89,81,73,84,94,89,87,93,76,75,91,0,75,100,55,84,59
10/1/2020,71,89,83,97,86,93,92,81,84,83,78,86,69,72,89,0,81,86,53,79,67
11/1/2020,26,98,71,84,91,89,80,84,87,81,67,79,64,69,91,0,79,88,40,58,63
12/1/2020,52,95,80,91,91,82,100,94,89,89,70,81,39,77,93,0,73,88,74,61,54
13/1/2020,54,90,82,93,89,69,80,87,89,92,94,99,62,74,85,20,89,90,51,89,58
14/1/2020,63,89,84,92,90,80,75,83,85,95,85,96,67,82,85,0,82,94,32,84,65
15/1/2020,43,100,81,90,93,69,72,82,97,95,89,100,72,81,97,0,79,92,75,92,76
16/1/2020,59,94,79,94,92,87,76,84,92,85,88,92,100,76,86,27,75,93,41,90,72
17/1/2020,44,82,71,89,82,80,68,78,79,79,74,85,87,75,87,0,73,95,36,83,73
18/1/2020,100,82,67,100,86,75,75,79,80,89,60,77,71,66,90,0,80,86,36,55,70
19/1/2020,38,86,69,95,89,63,77,92,84,82,66,84,57,66,90,100,84,84,38,63,54
20/1/2020,22,83,78,85,89,97,84,84,88,87,79,87,60,79,91,0,79,95,48,81,55
21/1/2020,61,95,79,93,95,87,84,84,96,88,85,97,86,82,87,22,78,96,45,94,62
22/1/2020,26,94,78,94,86,88,78,84,89,88,82,89,65,82,91,0,77,95,34,93,70
23/1/2020,58,86,76,89,85,76,85,82,92,86,84,93,85,79,88,28,89,95,38,92,76
24/1/2020,64,81,72,91,84,73,96,81,78,82,59,87,70,77,86,0,81,92,42,86,72
25/1/2020,61,87,68,93,89,69,74,80,86,77,63,79,50,76,93,0,82,85,74,59,75
26/1/2020,56,84,69,96,89,70,93,81,87,84,65,82,55,84,94,0,77,93,55,65,82
27/1/2020,82,91,76,93,94,89,88,86,98,91,89,100,68,97,97,0,87,97,54,93,76
28/1/2020,72,95,79,91,91,90,91,87,100,91,93,96,54,100,97,0,84,95,26,93,80
29/1/2020,58,94,80,94,100,97,74,82,97,83,86,96,67,96,97,0,100,99,65,100,100
30/1/2020,51,96,78.0361056,90,93.38886624,100,96,84,96,100,80,94,102.6848516,93,84,54,95.457966,97,40.47917273,95,91
31/1/2020,57,89.91297229,73.00120683,88.04336584,90.04852405,84,95.99651861,76.86728268,85.01027099,84,70.78001249,89.13302977,76.18900622,91,88,0,81.98346474,87.49599704,50.47316812,82,80
1/2/2020,62.35065506,88.6956621,67.00114719,87.00868994,88.04914023,82,84.76912886,83.75684287,84.97492352,79,61.39787487,80.11645617,49.12621139,88,90,63,80.98308304,92.41444554,67.65668976,58,68
2/2/2020,91.02713202,88.86095662,70.15466973,96.08180555,94.50183313,62,102.9805593,88.03228256,87.93911822,84.10132904,65.00794886,83.07699224,37.07865881,85.63226618,89.98161462,42,73.13755755,90.01049323,44.35640461,64,71
3/2/2020,58.43534424,95.13512191,75.06282298,95.01159394,88.61849093,64.79491482,97.24129132,90.91778015,93.03666917,92.96488387,82.01038593,99.09511391,68.0832454,103.036516,91.92791481,51.02631579,73.98897311,103.6338659,24.12516644,90,76
4/2/2020,64.49753627,97.14289396,79.99501293,95.1203573,91.7262309,79.69583464,99.74365493,84.29097671,88.03593691,92.87197802,81.01062567,98.09751577,83.65597946,93.77163852,93.30766527,100,85.19557514,98.24791905,43.32540057,92,69
