date,/g/11bytn80mf,/m/01j6t0,/m/0ddwt,/m/029ggh,/m/0j5fv,/m/02656gy,/m/06gx48m,/m/0dl9s3k,/m/013677,/m/02bft,/m/0cnmb,/m/0k_9,/m/0m7pl,/m/01cdt5,/m/033mg5,/g/11qm6vy88k,/m/03l19k,/m/079p0q,/m/02np4v,/m/05sfr2,/m/03x69g,/m/04c_jpd
2020-01-01,40.0,79.0,67.0,91.0,92.0,60.0,92.0,87.0,74.0,79.0,56.0,69.0,41.0,67.0,79.0,0.0,0.0,76.0,93.0,60.0,47.0,63.0
2020-01-02,60.0,84.0,79.0,99.0,86.0,71.0,71.0,89.0,77.0,82.0,79.0,84.0,48.0,79.0,91.0,0.0,16.0,85.0,94.0,36.0,66.0,62.0
2020-01-03,26.0,82.0,84.0,88.0,88.0,87.0,86.0,85.0,83.0,75.0,88.0,87.0,76.0,83.0,90.0,0.0,6.0,79.0,99.0,75.0,79.0,60.0
2020-01-04,42.0,87.0,81.0,89.0,92.0,81.0,90.0,91.0,83.0,76.0,72.0,72.0,46.0,79.0,92.0,0.0,0.0,79.0,96.0,60.0,58.0,57.0
2020-01-05,54.0,92.0,93.0,93.0,96.0,87.0,65.0,100.0,93.0,91.0,92.0,82.0,73.0,68.0,98.0,0.0,4.0,84.0,94.0,100.0,59.0,66.0
2020-01-06,48.0,95.0,97.0,95.0,89.0,87.0,95.0,88.0,82.0,86.0,100.0,94.0,72.0,74.0,92.0,0.0,6.0,86.0,95.0,24.0,95.0,59.0
2020-01-07,52.0,99.0,100.0,98.0,98.0,77.0,82.0,95.0,98.0,93.0,100.0,96.0,75.0,80.0,95.0,0.0,6.0,93.0,97.0,50.0,90.0,73.0
2020-01-08,55.0,93.0,97.0,91.0,91.0,58.0,70.0,86.0,97.0,79.0,83.0,88.0,68.0,76.0,100.0,0.0,9.0,79.0,93.0,21.0,88.0,69.0
2020-01-09,51.0,92.0,89.0,94.0,89.0,81.0,73.0,84.0,94.0,89.0,87.0,93.0,76.0,75.0,91.0,0.0,5.0,75.0,100.0,55.0,84.0,59.0
2020-01-10,71.0,89.0,83.0,97.0,86.0,93.0,92.0,81.0,84.0,83.0,78.0,86.0,69.0,72.0,89.0,0.0,4.0,81.0,86.0,53.0,79.0,67.0
2020-01-11,26.0,98.0,71.0,84.0,91.0,89.0,80.0,84.0,87.0,81.0,67.0,79.0,64.0,69.0,91.0,0.0,6.0,79.0,88.0,40.0,58.0,63.0
2020-01-12,52.0,95.0,80.0,91.0,91.0,82.0,100.0,94.0,89.0,89.0,70.0,81.0,39.0,77.0,93.0,0.0,0.0,73.0,88.0,74.0,61.0,54.0
2020-01-13,54.0,90.0,82.0,93.0,89.0,69.0,80.0,87.0,89.0,92.0,94.0,99.0,62.0,74.0,85.0,20.0,8.0,89.0,90.0,51.0,89.0,58.0
2020-01-14,63.0,89.0,84.0,92.0,90.0,80.0,75.0,83.0,85.0,95.0,85.0,96.0,67.0,82.0,85.0,0.0,10.0,82.0,94.0,32.0,84.0,65.0
2020-01-15,43.0,100.0,81.0,90.0,93.0,69.0,72.0,82.0,97.0,95.0,89.0,100.0,72.0,81.0,97.0,0.0,11.0,79.0,92.0,75.0,92.0,76.0
